timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-06-20T00:00	baseline	brand-guidelines	-	38.2	baseline	-	严重落后：仅有颜色字体列表，无工作流/边界条件/检查点，需从零重构	dry_run
2026-06-20T09:16	42f8c1d	brand-guidelines	38.2	66.3	keep	工作流清晰度	新增5阶段编号工作流(Phase1-5)，补充CSS示例和角色对照表	dry_run
2026-06-20T00:00	baseline	find-skills	-	50.3	baseline	-	检查点设计缺失、工作流未编号，功能简单	dry_run
2026-06-20T09:16	42f8c1d	find-skills	50.3	65.0	keep	检查点设计	新增4个[CHECKPOINT]及汇总章节，覆盖搜索前/无结果/安装前/失败处理	dry_run
2026-06-20T00:00	baseline	frontend-design	-	52.8	baseline	-	美学质量高但执行指导弱，无边界条件/资源引用/检查点	dry_run
2026-06-20T09:20	3f0c1c1	frontend-design	52.8	55.1	keep	资源整合+触发词	新增keywords(20+)/tags字段，引用LICENSE.txt，优化description匹配	dry_run
2026-06-20T00:00	baseline	web-design-guidelines	-	53.5	baseline	-	步骤极简无边界条件，依赖外部URL无回退	dry_run
2026-06-20T09:21	6490686	web-design-guidelines	53.5	67.1	keep	检查点设计+触发词	新增3个用户确认检查点、triggers.keywords(15词)、URL故障降级规则	dry_run
2026-06-20T00:00	baseline	capability-evolver	-	64.1	baseline	-	内容最丰富但SKILL.md偏API参考手册，缺工作流编号	dry_run
2026-06-20T09:25	bea076a	capability-evolver	64.1	73.4	keep	工作流清晰度+触发词	新增5阶段编号工作流(Setup→Mailbox→Assets→Tasks→Evolution)，扩展tags	dry_run
2026-06-20T00:00	baseline	webapp-testing	-	68.0	baseline	-	决策树不错但检查点完全缺失，边界条件不足	dry_run
2026-06-20T09:26	90b1a5c	webapp-testing	68.0	75.5	keep	检查点设计+触发词	新增4个检查点+14个[CHECKPOINT]标记+trigger字段(15词)	dry_run
2026-06-20T00:00	baseline	frontend-skill	-	70.0	baseline	-	指令具体架构清晰但无检查点无资源引用	dry_run
2026-06-20T09:30	aeb5318	frontend-skill	70.0	77.1	keep	检查点+资源+触发词	新增3个[CHECKPOINT]、Resources章节(LICENSE/openai.yaml)、keywords/tags/trigger字段	dry_run
2026-06-20T00:00	baseline	file-search	-	71.7	baseline	-	渐进搜索策略好但无检查点	dry_run
2026-06-20T09:31	7eac14c	file-search	71.7	76.0	keep	检查点设计+触发词	新增4个搜索检查点(范围确认/结果过多/全局搜索/充分性)+keywords字段	dry_run
2026-06-20T00:00	baseline	algorithmic-art	-	75.0	baseline	-	流程完整边界弱，无异常处理无检查点	dry_run
2026-06-20T09:35	0d1d9fa	algorithmic-art	75.0	81.6	keep	检查点+边界+触发词	新增3个[CHECKPOINT]、边界条件章节(CDN降级/模板失败/校验)、keywords	dry_run
2026-06-20T00:00	baseline	opencli-agent	-	75.9	baseline	-	命令示例丰富但检查点薄弱	dry_run
2026-06-20T09:36	73138fd	opencli-agent	75.9	78.8	keep	检查点+触发词	新增写操作检查点(发帖/点赞/关注/删除前确认)、英文description+keywords	dry_run
2026-06-20T00:00	baseline	memory-evolution	-	79.1	baseline	-	decay模型先进架构清晰，但执行复杂度高	dry_run
2026-06-20T09:40	6b56b0f	memory-evolution	79.1	80.4	keep	资源整合+触发词	新增Resources章节(6个引用文件)+keywords字段(10词)	dry_run
2026-06-20T00:00	baseline	skill-creator	-	81.5	baseline	-	三对话架构优秀但工作流散落677行长文中	dry_run
2026-06-20T09:41	e52b07c	skill-creator	81.5	83.0	keep	工作流清晰度+触发词	新增Quick Start 8步编号检查清单+keywords字段(31词)	dry_run
2026-06-20T00:00	baseline	memory-booster	-	85.2	baseline	-	工作流清晰资源丰富但检查点设计局限	dry_run
2026-06-20T09:46	c445679	memory-booster	85.2	86.6	keep	检查点+触发词	新增[CHECKPOINT]在!forge前确认、keywords(8词)+tags	dry_run
2026-06-20T00:00	baseline	code-optimizer	-	86.5	baseline	-	指令具体性满分，双引擎策略专业但无检查点	dry_run
2026-06-20T09:47	5f4f6ae	code-optimizer	86.5	88.6	keep	检查点+触发词	新增Checkpoints章节(优化前确认+代码修改前审批)、keywords(11词)	dry_run
2026-06-20T00:00	baseline	planning-with-files	-	87.0	baseline	-	边界条件和资源集成出色	dry_run
2026-06-20T09:48	b6a4013	planning-with-files	87.0	87.8	keep	触发词增强	新增keywords(9词)+tags字段	dry_run
2026-06-20T00:00	baseline	systematic-debugging	-	87.9	baseline	-	四阶段工作流最清晰，最高分之一	dry_run
2026-06-20T09:49	e6d105c	systematic-debugging	87.9	89.5	keep	Frontmatter+触发词	扩展description增加触发场景(测试失败/生产bug/性能问题)、keywords(11词)	dry_run
2026-06-20T00:00	baseline	darwin-skill	-	91.2	baseline	-	检查点设计行业标杆，hill-climbing+人在回路	dry_run
2026-06-20T09:50	41b073e	darwin-skill	91.2	92.2	keep	资源整合+触发词	新增Resources章节(assets/docs目录)、keywords(10词)+tags	dry_run
2026-06-20T00:00	baseline	harness-engineering	-	91.3	baseline	-	全场最高分，工作流/架构/边界条件几近完美	dry_run
2026-06-20T09:51	bdf0c1e	harness-engineering	91.3	91.8	keep	触发词增强	新增keywords(10词)+tags字段	dry_run
